S.No,CPU-0,CPU-1,CPU-2,CPU-3,CPU-4,CPU-5,CPU-6,CPU-7,CPU-8
186,29.91,19.26,12.83,0.0,3.87,0.0,7.71,12.28
187,29.77,16.6,3.2,0.01,15.15,0.01,9.6,9.31
188,24.95,18.54,9.66,0.01,23.22,0.01,5.46,2.8
189,33.35,28.11,0.0,0.0,5.19,0.0,9.96,12.81
190,29.34,21.49,0.0,0.0,5.62,0.0,16.65,10.23
191,29.14,26.05,0.01,0.0,8.15,0.0,14.32,7.48
192,41.57,30.57,0.0,0.0,4.75,0.0,10.16,5.45
193,23.59,12.14,30.32,0.0,7.03,0.0,9.35,5.41
194,30.76,12.34,9.7,0.01,18.4,0.01,8.65,4.22
195,32.08,36.19,0.11,0.0,0.0,0.0,6.47,13.61
196,30.55,17.58,0.19,0.01,7.57,0.01,15.86,14.21
197,26.63,30.4,0.02,0.01,9.97,0.02,12.85,4.81
198,27.44,43.19,0.04,0.0,4.78,0.0,9.08,5.17
199,25.74,38.8,0.03,0.0,5.6,0.0,5.82,11.1
200,24.21,21.71,0.06,0.0,12.77,0.0,9.29,16.09
201,43.02,14.84,0.0,0.0,0.0,0.0,12.39,14.44
202,34.71,19.68,11.64,0.0,0.0,0.0,13.62,7.86
203,24.0,11.06,41.65,0.0,0.0,0.0,9.23,4.43
204,43.83,4.35,18.83,0.0,0.49,0.0,12.33,10.61
205,38.25,12.86,14.13,0.0,9.44,0.0,2.27,12.42
206,20.41,0.62,39.85,0.0,4.07,0.0,7.66,14.54
207,30.61,8.01,23.32,0.0,0.62,0.0,11.03,15.04
208,26.06,0.0,5.12,0.0,10.98,0.0,22.95,13.09
209,19.97,4.13,9.72,0.0,12.9,0.0,10.79,17.19
210,32.77,22.93,0.0,0.0,3.53,0.0,9.86,12.26
211,27.76,7.02,0.0,0.0,14.29,0.0,2.65,23.72
212,23.35,25.04,0.0,0.01,9.26,0.01,20.64,3.19
213,28.85,15.82,0.01,0.01,16.87,0.02,10.29,8.07
214,28.04,9.15,0.0,0.0,16.68,0.0,18.95,4.46
215,25.89,12.73,0.0,0.0,0.98,0.0,22.62,13.88
216,27.21,29.53,0.0,0.0,11.17,0.0,10.38,5.86
217,25.33,18.44,0.01,0.0,0.0,0.0,20.59,13.52
218,19.84,27.21,0.03,0.0,3.58,0.0,25.24,4.13
219,27.44,22.12,5.22,0.01,4.24,0.01,15.94,9.99
220,23.43,48.86,0.49,0.01,8.2,0.01,5.52,6.83
221,30.17,34.59,0.64,0.0,6.42,0.0,8.6,8.24
222,40.37,34.56,1.34,0.01,5.53,0.02,5.36,4.8
223,31.84,18.05,0.02,0.01,9.47,0.02,14.85,9.09
224,24.26,29.8,1.33,0.0,0.0,0.0,12.15,20.48
225,38.57,17.71,0.0,0.0,0.0,0.0,16.71,11.99
226,28.06,40.54,0.0,0.0,2.52,0.0,15.79,3.45
227,32.4,24.4,22.51,0.0,0.0,0.0,7.43,4.03
228,26.86,0.07,38.58,0.0,9.09,0.0,8.75,12.62
229,31.08,37.54,5.2,0.0,0.0,0.0,3.28,9.29
230,33.56,47.73,1.45,0.0,1.79,0.0,5.06,7.36
231,23.5,28.78,0.2,0.0,12.53,1.84,11.69,4.03
232,33.1,17.17,0.0,0.0,0.0,14.04,12.34,12.68
233,24.02,49.98,0.0,0.0,0.0,0.0,9.5,2.94
234,28.31,7.02,0.0,0.0,0.0,11.54,16.76,11.54
235,24.12,22.08,0.0,0.0,0.0,7.14,14.08,14.44
236,30.81,7.31,0.01,0.01,0.01,4.96,18.32,14.65
237,21.29,33.43,0.0,0.0,0.0,0.57,14.82,10.24
238,32.96,20.88,0.0,0.0,0.0,3.4,7.16,16.97
239,31.04,23.62,0.0,0.0,0.0,7.52,15.12,5.6
240,28.57,14.52,0.01,0.01,0.01,9.42,11.41,14.62
241,24.09,14.78,0.0,0.0,0.0,3.14,16.24,20.09
